smartphoneName,smartphonePrice,smartphoneLink,smartphoneImg,smartphoneBrand,smartphonePage
"Infinix Smart 6 HD - 6.6"" - 2 Go - 32 Go et Pochette + Anticasse - Blue - Garantie 1 an",359.00 TND,/smart-6-6.6-2-go-32-go-heart-of-ocean-garantie-1-an-infinix-mpg22486.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/3556/1.jpg?4809,Infinix,2
"Smart E2 - 6.55"" - 2Go - 32Go - Noir - Garantie 1 an",299.00 TND,/smart-e2-6.55-2go-32go-noir-garantie-1-an-667910.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/9766/1.jpg?2989,Smart,2
"Apple iPhone 14 Pro - 6,1"" -  6G - 128 GB - Deep Purple   - Garantie 1AN","6,490.00 TND",/apple-iphone-14-pro-61-6g-128-gb-deep-purple-garantie-1an-739328.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/3937/1.jpg?5968,Apple,2
"Apple iPhone 11 - 6.1""- 64 Go - Noir - Garantie 1 an +  Apple Earpods Offertes","2,898.00 TND",/apple-iphone-11-6.1-64-go-noir-garantie-1-an-apple-earpods-offertes-601597.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/5106/1.jpg?1749,Apple,2
"XIAOMI Redmi 10C - 6.71""- 4Go - 128Go - Bleu - Garantie 1 an",643.90 TND,/xiaomi-redmi-10c-6.71-4go-128go-bleu-garantie-1-an-653903.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/9356/1.jpg?0685,XIAOMI,2
"Apple iPhone 14 Pro Max - 6,7"" - 512 GB -Deep Purple - Garantie 12 mois","9,883.30 TND",/apple-iphone-14-pro-max-67-512-gb-deep-purple-garantie-12-mois-692670.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/6296/1.jpg?3192,Apple,2
"XIAOMI Redmi Note 12 - 6,67"" Amoled 120hz - 6 Go -128 Go - Vert Menthe - Garantie 1 an",799.00 TND,/xiaomi-redmi-note-12-667-amoled-120hz-6-go-128-go-vert-menthe-garantie-1-an-739567.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/5937/1.jpg?6576,XIAOMI,2
"Oppo A17k 6.56"" 3 - 64 Gb  Bleu -5000 mAh - Garantie 1 An",487.00 TND,/oppo-a17k-6.56-3-64-gb-bleu-5000-mah-garantie-1-an-685363.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/3586/1.jpg?6487,Oppo,2
XIAOMI Redmi Note 11S - 8Go - 128Go - 108MP - Bleu - Garantie 1 an,999.00 TND,/xiaomi-redmi-note-11s-8go-128go-108mp-bleu-garantie-1-an-644529.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/5446/1.jpg?3268,XIAOMI,2
"Oppo A17 6.56"" 4 - 64 Gb Noir -5000 mAh - Garantie 1 An",574.90 TND,/oppo-a17-6.56-4-64-gb-noir-5000-mah-garantie-1-an-680768.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/7086/1.jpg?8007,Oppo,2
"Iku X5 - 6.95"" - 3 Go - 32 Go -5500mAh -  Blue - Garantie 1 an",359.00 TND,/iku-x5-6.95-3-go-32-go-5500mah-blue-garantie-1-an-696859.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/8696/1.jpg?7209,Iku,2
"XIAOMI Redmi 10C - 6.71""- 4Go - 64Go - Gris - Garantie 1 an",689.00 TND,/xiaomi-redmi-10c-6.71-4go-64go-gris-garantie-1-an-562724.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/7265/1.jpg?2930,XIAOMI,2
"Apple iPhone 14 Pro Max - 6,7"" - 512 GB - Silver - Garantie 12 mois","9,883.30 TND",/apple-iphone-14-pro-max-67-512-gb-silver-garantie-12-mois-692667.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/6296/1.jpg?3193,Apple,2
"XIAOMI Redmi 12C - 6.71"" - 4 Go - 128 Go - Vert - Garantie 1 an",579.00 TND,/xiaomi-redmi-12c-6.71-4-go-128-go-vert-garantie-1-an-726783.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/7627/1.jpg?2547,XIAOMI,2
"XIAOMI Note 12 -6.67""- 4Go-128Go-Gris- Garantie 1an",729.00 TND,/xiaomi-note-12-6.67-4go-128go-gris-garantie-1an-738714.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/7837/1.jpg?8512,XIAOMI,2
"Samsung Galaxy A14 - 6.6"" - 7Gb Ram(3+4) - 128 GB - 5000mAh - Silver - 1an Garantie",777.00 TND,/samsung-galaxy-a14-6.6-7gb-ram34-128-gb-5000mah-silver-1an-garantie-728857.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/8827/1.jpg?7988,Samsung,2
"Samsung Galaxy A04S - 6.5"" - 4Go - 64Go - NOIR - Garantie 1 an",570.00 TND,/samsung-galaxy-a04s-6.5-4go-64go-noir-garantie-1-an-739909.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/9937/1.jpg?7507,Samsung,2
Itel A18 - 3G - DS - 1Gb- 32G Et Pochette + Anticasse - Blue - Garantie 1an,199.00 TND,/itel-a18-3g-ds-1gb-32g-et-pochette-anticasse-blue-garantie-1an-702658.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/6207/1.jpg?5806,Itel,2
"Iku A7 - 6"" - 2 Go - 16 Go - Dark Red - Garantie 1 an",279.00 TND,/iku-a7-6-2-go-16-go-dark-red-garantie-1-an-614373.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/3416/1.jpg?3401,Iku,2
XIAOMI Redmi  Smartphone - A1 Plus - 2 Go -32 Go - Noir - Garantie 1 an,399.00 TND,/xiaomi-redmi-smartphone-a1-plus-2-go-32-go-noir-garantie-1-an-732816.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/8237/1.jpg?0046,XIAOMI,2
"Samsung Galaxy A03 Core - 6.5"" - 2Go -32Go + Anticasse - Vert - Garantie 1an",399.00 TND,/samsung-galaxy-a03-core-6.5-2go-32go-anticasse-vert-garantie-1an-696363.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/3696/1.jpg?7067,Samsung,2
"XIAOMI Redmi 10 2022 - 6.5"" - 6Go - 128Go - Carbon Gray - Garantie 1 an",879.00 TND,/xiaomi-redmi-10-2022-6.5-6go-128go-carbon-gray-garantie-1-an-699409.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/4996/1.jpg?5848,XIAOMI,2
XIAOMI Redmi 12C - 4Go - 128Go - Purple - Garantie 1 an,569.00 TND,/xiaomi-redmi-12c-4go-128go-purple-garantie-1-an-732518.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/5237/1.jpg?1287,XIAOMI,2
Redmi Note 11 - 4G - 128G - Gris - Garantie 1 an,779.00 TND,/redmi-note-11-4g-128g-gris-garantie-1-an-664552.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/5466/1.jpg?1076,Redmi,2
"Itel P38 - 6.52"" - 2Go - 32Go - 6.5"" -5000mAH + Pochette et Anticasse - Blue - Garantie 1 An",299.00 TND,/itel-p38-6.52-2go-32go-6.5-5000mah-pochette-et-anticasse-blue-garantie-1-an-741086.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/0147/1.jpg?5986,Itel,2
"Oukitel WP20 - Etanche + Robuste - 5.93"" -4 Go-32 Go -6300 Mah + Cadeau Kit- Noir+Vert - Garantie 1 An",549.99 TND,/oukitel-wp20-etanche-robuste-5.93-4-go-32-go-6300-mah-cadeau-kit-noirvert-garantie-1-an-662014.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/0266/1.jpg?5514,Oukitel,2
